name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bahrain,BHR,3.5444784426,10.549281094,9.1916439495,6.7106882227,8.742075708,6.5541185823,3.384393576,5.1246691115,5.5008746443,6.1756478017,12.1942992874,13.7983541523,16.0662782833,23.0558642658,21.456617615,21.5857216284,23.171399673,24.638175971,24.010368717,23.7265269926,21.9171436669,22.7888779001,25.4918020469,20.7558707946,22.6110670461,24.305033021,25.4035946129,25.4581879088,26.1465750362,24.3989004136,25.0588549617,23.2997812718,20.8416401096,27.3069302684,26.9092683974,26.2876943191,26.9954792731,29.111392937,29.9895926688,28.3085060758,28.0509107542,19.966003822,21.3541042076,21.1484067902,21.1001593063,21.6019312436,19.6470888363,25.767279569,26.5667420307,23.0411930847,23.4820487693,22.9727357857,22.3706073678,24.2949960127,,,
"Bahamas, The",BHS,3.7497626178,4.7466987525,5.9964321994,5.5581114087,8.1185358046,9.3996101504,7.4659825369,11.1733580588,10.2871200994,10.6271735424,15.2003141349,38.7236617337,36.4970000956,43.3805485762,39.9192053982,43.7014485234,33.5140174804,49.2998868658,32.7916015344,33.6386095364,37.9301009679,13.0066853609,10.2714288957,8.956334069,8.0668738995,6.4375274302,5.9038560454,5.8456734582,6.220802249,7.7315256364,7.6104955995,6.8251734861,6.7378200455,6.2747330961,6.1139926421,6.0080421203,5.8792945488,4.7535421821,5.7901330759,5.7083747769,5.6010104401,5.17748198,5.1003535421,4.808098915,5.3437242269,5.2902970093,4.9573236459,4.9382083849,4.2909061708,4.6295285975,6.8292834338,5.2018725039,5.1549461212,8.2430707242,,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5509526193,3.0830435624,0.8181254837,0.8920140219,1.1261802391,2.2368867009,2.8246914732,2.7606502376,3.6604715101,3.5432356725,3.7876141445,3.833651783,4.1283348765,4.2851631482,4.6474609654,4.6775140435,5.3549360599,5.5261030049,5.716134832,6.4753895846,6.1012800833,6.0767445428,,,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5569315779,7.4976701826,6.3612248949,5.9616628409,5.9216997047,5.8867003064,5.7701805542,5.5962800664,5.3897452906,5.3140490116,5.3119296566,5.4641459121,5.9771579995,6.1224715863,6.4624466576,6.3303140388,6.6231635545,6.3810540178,6.6021264447,6.7195500092,6.6799915896,6.7366522512,,,
Belize,BLZ,0.4779718457,0.3872105424,0.7154460692,0.6223693143,0.818296481,0.794777561,0.7377797288,1.0738206794,0.8846727152,1.1376644502,0.9904159369,1.1460017789,1.2401179709,1.1344687302,1.172930613,1.3208464656,1.3024040489,1.4455029236,1.5568884251,1.4792045575,1.3227706288,1.2424948836,1.1376171617,1.1060633287,1.0748501687,1.1562141874,1.2110303831,1.3042335934,1.3928324061,1.6389362781,1.6619124296,1.8802570032,1.8305089107,1.9112875476,1.8546466079,1.8249687142,1.441565735,1.7540229055,1.6083053968,1.4574355928,1.6754786406,1.6107049854,1.3985187219,1.4306654777,1.4344504852,1.4627767168,1.4882561127,1.5360732154,1.2576061927,1.3783562525,1.6761056939,1.8157215242,1.4267168794,1.5022531749,,,
Bermuda,BMU,3.5513738739,3.8684835165,3.3837124464,3.1519287212,4.1244376278,3.5864870259,3.9546078431,4.0901153846,4.220509434,3.667,4.1337090909,4.2311538462,4.6683210332,7.9065427509,8.3091198502,8.6485849057,8.8228571429,8.5151310861,7.9360447761,8.5881412639,7.9819462228,7.0608900999,7.1423470216,8.0643840515,7.8639384648,7.9271854898,7.3490815935,9.8887102629,11.0612713593,13.2742645434,10.0133836766,8.3876078006,6.8840344739,7.9054320149,7.7889750506,7.4879322465,7.5622079196,7.4555928393,7.2806885122,7.6589051154,7.531722543,7.4508671445,7.8688485504,7.4121752862,7.1337935362,6.1732082177,8.0702075229,11.2460393293,9.9437592879,6.9277225913,8.7840427492,6.1340065671,6.8475415908,5.5850371533,,,
Bolivia,BOL,0.2720378703,0.2766214418,0.2866264193,0.3101595929,0.3712155058,0.3711511108,0.4070845538,0.4465697849,0.5037386126,0.5774358289,0.5517861732,0.6655547081,0.7602373138,0.7206365561,0.7173668875,0.8103734745,0.8945766395,0.8561999527,0.9396550338,0.8662749037,0.8351423856,0.8391291125,0.745317284,0.7198689253,0.6640434896,0.6641458251,0.5959409539,0.6233874815,0.6535513736,0.7428855908,0.7979826856,0.8212377196,0.9229578557,1.1080918224,1.2045621289,1.2503260993,1.2976548061,1.4009493251,1.4272795254,1.3739970318,1.225922572,1.1562452222,1.1056074847,1.60366373,1.4589912889,1.3353309424,1.6219067417,1.3061689504,1.3789656198,1.4335450613,1.5328706438,1.6020293217,1.8354690554,1.8944510447,,,
Brazil,BRA,0.6496309791,0.6617705353,0.701235515,0.7053209171,0.6989868774,0.6754466753,0.7491398049,0.7505610923,0.8549456838,0.9072498593,0.9835799574,1.0502072461,1.1419874189,1.2912606452,1.3653523486,1.4047188095,1.4077678819,1.4438252829,1.5307923886,1.5913323742,1.5441623395,1.3851892788,1.3562837716,1.2829470995,1.2711280764,1.3358916361,1.4359868714,1.4689960653,1.4538990006,1.4590058266,1.398620609,1.4431868932,1.4279219743,1.4684318887,1.5162570082,1.5918230259,1.7268642168,1.7938286777,1.8351523741,1.8532907325,1.8711183126,1.898353874,1.8443796108,1.762482362,1.8286719812,1.8580879922,1.8393938595,1.901371917,2.0086702582,1.8838117844,2.1329375711,2.2115872353,2.343570115,2.4884171837,,,
Barbados,BRB,0.7462966411,0.8388841409,1.1194009958,0.8163296759,0.7660852622,0.8724498033,1.1340724611,1.425756801,1.85515116,2.0191288412,1.7962846664,2.0165559189,2.0807526476,1.977055347,2.0094054527,2.3101888357,2.1488296342,2.3730907132,2.5225731106,2.394279731,2.6754324052,2.7095345345,2.5425049539,2.6942259487,2.9313813467,3.309877151,3.5707886701,3.6583026346,3.6595249239,3.81599334,4.1264911243,4.6175217683,3.7343583132,4.2372277062,2.8334299188,3.1278122276,3.1989832369,3.3792803761,4.2561559993,4.4998549765,4.4028949738,4.5111882816,4.525025969,4.6602193508,4.739998755,4.9382429044,4.986412836,4.9397935904,5.8445833138,5.8072575143,5.2859973745,5.4495137223,5.2221070014,5.1271463918,,,
Brunei Darussalam,BRN,4.0821701633,3.5557853171,4.137439117,3.8011776524,3.4853139563,3.2579643642,4.5787953334,3.9116752893,3.6374650276,3.9441905979,63.3602633061,55.3862192948,66.5915409684,67.1888395261,52.767692397,43.7986837466,35.8146340593,36.5917389986,52.6409131785,39.6488414972,35.488499554,7.3492115851,10.1580425755,12.7571275031,8.788284676,11.5639074971,9.9544923194,13.966025873,23.3858290586,25.2374698824,23.9332380161,19.9411733778,19.0334972241,17.6353766269,16.2119333391,16.1145051011,15.9822513366,16.2174478749,16.5072551391,11.9802445072,14.1402018359,13.2505667167,12.6226997668,12.9915871745,13.9020897133,13.7076416236,13.13286158,22.4501819326,24.0468843935,20.4862470425,21.1059455259,24.6071779358,24.1440707646,19.1884002603,,,
